nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,81599,342,0,3454.0,101.0,1648.0,Java,Tipada,2.095873786407767,5507,702,351.1955555555556
macrozheng/mall,https://github.com/macrozheng/mall,65927,1,0,951.0,0.0,106.0,Java,Tipada,8.971698113207546,13922,1620,0.0
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,51729,552,1,1852.0,24.0,3092.0,Java,Tipada,0.5989650711513583,6363,2090,230.7472222222222
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,46983,310,0,6028.0,265.0,3775.0,Java,Tipada,1.5968211920529802,4484,469,16.585416666666667
square/retrofit,https://github.com/square/retrofit,41488,197,5,2051.0,23.0,1182.0,Java,Tipada,1.7351945854483926,3465,669,553.0088888888889
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,39276,236,0,9422.0,601.0,1041.0,Java,Tipada,9.050912584053794,316618,73274,436.8919444444445
apache/dubbo,https://github.com/apache/dubbo,38848,541,0,6695.0,553.0,6015.0,Java,Tipada,1.113050706566916,41348,8699,70.11444444444444
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36415,72,22,2070.0,60.0,493.0,Java,Tipada,4.198782961460446,4762,814,190.93888888888887
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,34503,13,0,903.0,0.0,185.0,Java,Tipada,4.881081081081081,11629,4927,0.0
skylot/jadx,https://github.com/skylot/jadx,34413,92,155,1974.0,399.0,442.0,Java,Tipada,4.46606334841629,23735,2095,44.67625
airbnb/lottie-android,https://github.com/airbnb/lottie-android,33865,156,0,1500.0,0.0,690.0,Java,Tipada,2.1739130434782608,4762,416,0.0
bumptech/glide,https://github.com/bumptech/glide,33572,147,49,2858.0,399.0,833.0,Java,Tipada,3.430972388955582,12026,2602,124.64583333333331
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,32105,39,177,1430.0,165.0,213.0,Java,Tipada,6.713615023474178,9332,1476,121.13138888888888
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,31881,262,643,24192.0,6649.0,4014.0,Java,Tipada,6.026905829596412,92988,23136,120.38388888888888
netty/netty,https://github.com/netty/netty,31146,625,0,11144.0,1286.0,7106.0,Java,Tipada,1.5682521812552772,53746,7171,73.44416666666666
zxing/zxing,https://github.com/zxing/zxing,31011,116,3,3689.0,46.0,349.0,Java,Tipada,10.570200573065902,9869,11939,32.04611111111111
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,29376,9,22,734.0,16.0,78.0,Java,Tipada,9.41025641025641,1314,590,15.575
apolloconfig/apollo,https://github.com/apolloconfig/apollo,28019,141,3,2836.0,17.0,1615.0,Java,Tipada,1.7560371517027864,6568,1188,193.5377777777778
alibaba/easyexcel,https://github.com/alibaba/easyexcel,27661,66,66,1048.0,583.0,367.0,Java,Tipada,2.8555858310626703,4125,1528,429.2604166666666
halo-dev/halo,https://github.com/halo-dev/halo,27108,100,0,4242.0,0.0,1380.0,Java,Tipada,3.0739130434782607,5401,844,0.0
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,26961,23,2,709.0,9.0,114.0,Java,Tipada,6.219298245614035,633,458,18.740277777777777
alibaba/druid,https://github.com/alibaba/druid,26826,215,80,6833.0,325.0,1331.0,Java,Tipada,5.133734034560481,66323,22877,285.97652777777773
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,26487,678,0,29630.0,3.0,2903.0,Java,Tipada,10.206682741991044,21546,6369,51.505
alibaba/nacos,https://github.com/alibaba/nacos,26264,314,0,4559.0,0.0,3292.0,Java,Tipada,1.384872417982989,27281,6038,0.0
dromara/hutool,https://github.com/dromara/hutool,26188,245,0,4582.0,309.0,756.0,Java,Tipada,6.060846560846561,27792,4207,23.66180555555556
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,25875,9,0,248.0,0.0,69.0,Java,Tipada,3.5942028985507246,5958,3146,0.0
lenve/vhr,https://github.com/lenve/vhr,25857,2,0,159.0,0.0,76.0,Java,Tipada,2.0921052631578947,1044,171,0.0
alibaba/canal,https://github.com/alibaba/canal,25637,194,3,1557.0,158.0,615.0,Java,Tipada,2.5317073170731708,17153,3035,929.947361111111
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25624,97,0,1016.0,10.0,491.0,Java,Tipada,2.069246435845214,1275,499,290.4508333333333
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,25502,3,0,140.0,0.0,22.0,Java,Tipada,6.363636363636363,2291,785,0.0
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,25502,166,3,2434.0,42.0,1206.0,Java,Tipada,2.0182421227197347,3175,524,139.34333333333333
alibaba/fastjson,https://github.com/alibaba/fastjson,25316,179,57,3982.0,222.0,853.0,Java,Tipada,4.668229777256741,32588,19228,603.0423611111112
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25061,9,0,475.0,0.0,35.0,Java,Tipada,13.571428571428571,1113,183,0.0
apache/kafka,https://github.com/apache/kafka,24835,1024,0,11140.0,0.0,13713.0,Java,Tipada,0.8123678261503683,105400,15837,0.0
greenrobot/EventBus,https://github.com/greenrobot/EventBus,24337,22,1,550.0,7.0,131.0,Java,Tipada,4.198473282442748,867,234,3047.5002777777777
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,24212,57,0,1723.0,1.0,428.0,Java,Tipada,4.025700934579439,7853,3165,2251.858888888889
scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,24173,8,20,1127.0,32.0,27.0,Java,Tipada,41.74074074074074,3846,1022,118.48013888888887
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,23608,788,453,10698.0,1920.0,1964.0,Java,Tipada,5.44704684317719,10507,601,357.23513888888886
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,23589,306,0,12247.0,0.0,2674.0,Java,Tipada,4.580029917726253,66945,5946,0.0
Netflix/Hystrix,https://github.com/Netflix/Hystrix,23347,663,7,2109.0,73.0,805.0,Java,Tipada,2.619875776397516,7346,2746,870.3719444444445
google/gson,https://github.com/google/gson,22085,156,58,1815.0,73.0,796.0,Java,Tipada,2.280150753768844,4630,1175,440.0733333333333
DrKLO/Telegram,https://github.com/DrKLO/Telegram,22033,16,0,499.0,0.0,603.0,Java,Tipada,0.8275290215588723,237695,46313,0.0
apache/skywalking,https://github.com/apache/skywalking,21743,453,8,7582.0,908.0,4685.0,Java,Tipada,1.6183564567769475,12911,3315,0.6776388888888889
libgdx/libgdx,https://github.com/libgdx/libgdx,21457,549,45,15223.0,350.0,3502.0,Java,Tipada,4.346944603083952,64887,49774,3552.2904166666667
termux/termux-app,https://github.com/termux/termux-app,21442,75,0,1428.0,301.0,309.0,Java,Tipada,4.621359223300971,5576,934,1.56875
apache/flink,https://github.com/apache/flink,21181,1146,0,33264.0,0.0,22562.0,Java,Tipada,1.4743373814378158,226444,33710,0.0
redisson/redisson,https://github.com/redisson/redisson,21079,124,4,7932.0,927.0,553.0,Java,Tipada,14.343580470162747,42627,10344,74.76416666666665
alibaba/Sentinel,https://github.com/alibaba/Sentinel,20919,191,0,803.0,0.0,977.0,Java,Tipada,0.8219037871033776,12250,2104,0.0
bazelbuild/bazel,https://github.com/bazelbuild/bazel,20755,889,0,35791.0,2966.0,6505.0,Java,Tipada,5.502075326671791,119233,28885,184.82291666666669
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,20733,1321,0,33649.0,0.0,7942.0,Java,Tipada,4.2368421052631575,37136,10469,0.0
google/ExoPlayer,https://github.com/google/ExoPlayer,20688,242,142,15057.0,1128.0,1179.0,Java,Tipada,12.770992366412214,50472,17485,467.6979166666666
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19779,92,0,543.0,0.0,238.0,Java,Tipada,2.2815126050420167,175,25,0.0
elunez/eladmin,https://github.com/elunez/eladmin,19682,53,2,509.0,5.0,160.0,Java,Tipada,3.18125,1446,356,23.08222222222222
didi/DoKit,https://github.com/didi/DoKit,19444,106,10,2314.0,12.0,448.0,Java,Tipada,5.165178571428571,22730,3724,496.4548611111112
apache/rocketmq,https://github.com/apache/rocketmq,19191,473,0,8078.0,201.0,3284.0,Java,Tipada,2.4598051157125456,32794,6134,79.1238888888889
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,18916,31,1,184.0,0.0,130.0,Java,Tipada,1.4153846153846157,137,134,0.0
oracle/graal,https://github.com/oracle/graal,18539,1401,343,74124.0,1137.0,2902.0,Java,Tipada,25.542384562370778,288570,40401,227.65138888888885
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,18522,20,0,1489.0,0.0,56.0,Java,Tipada,26.589285714285715,6292,1137,0.0
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18505,43,3,462.0,36.0,153.0,Java,Tipada,3.019607843137255,339,38,1195.496666666667
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,18462,206,4,4617.0,125.0,1618.0,Java,Tipada,2.853522867737948,9374,1351,58.30819444444444
apache/shardingsphere,https://github.com/apache/shardingsphere,18338,516,0,38611.0,1035.0,16302.0,Java,Tipada,2.368482394798184,39573,6554,24.62736111111111
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,18143,127,0,2835.0,106.0,398.0,Java,Tipada,7.123115577889447,1968,448,17.43486111111111
linlinjava/litemall,https://github.com/linlinjava/litemall,17972,58,1,1181.0,4.0,173.0,Java,Tipada,6.826589595375722,19911,3479,1453.0959722222224
Anuken/Mindustry,https://github.com/Anuken/Mindustry,17851,519,0,16333.0,2574.0,4767.0,Java,Tipada,3.4262638976295365,26322,10604,5.289583333333333
dianping/cat,https://github.com/dianping/cat,17724,89,0,7410.0,2.0,1068.0,Java,Tipada,6.938202247191011,59573,32895,3323.803888888889
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,17284,1,0,72.0,0.0,13.0,Java,Tipada,5.538461538461538,645,701,0.0
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16806,38,15,1038.0,74.0,152.0,Java,Tipada,6.828947368421052,1383,198,539.8940277777779
Tencent/tinker,https://github.com/Tencent/tinker,16758,36,32,815.0,59.0,153.0,Java,Tipada,5.326797385620915,8601,1669,570.2727777777778
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,16750,4,2,678.0,4.0,29.0,Java,Tipada,23.379310344827587,4719,2044,74.8963888888889
shuzheng/zheng,https://github.com/shuzheng/zheng,16499,9,0,1241.0,0.0,135.0,Java,Tipada,9.192592592592591,7072,2490,0.0
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,16231,94,46,1929.0,170.0,387.0,Java,Tipada,4.984496124031008,2643,604,2236.58375
openzipkin/zipkin,https://github.com/openzipkin/zipkin,16158,161,48,2727.0,150.0,2188.0,Java,Tipada,1.2463436928702012,9076,2503,144.49930555555557
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,15955,65,0,1324.0,7.0,157.0,Java,Tipada,8.433121019108281,2200,606,115.21444444444444
keycloak/keycloak,https://github.com/keycloak/keycloak,15919,877,0,21916.0,0.0,11448.0,Java,Tipada,1.9143955276030749,107402,20260,0.0
JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,15434,3,0,168.0,0.0,65.0,Java,Tipada,2.5846153846153848,665,147,0.0
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15328,11,0,248.0,1.0,58.0,Java,Tipada,4.275862068965517,418,42,659.9133333333333
Tencent/APIJSON,https://github.com/Tencent/APIJSON,15218,60,0,3060.0,0.0,120.0,Java,Tipada,25.5,3670,1301,0.0
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,15138,1,0,495.0,0.0,40.0,Java,Tipada,12.375,674,339,0.0
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,15064,36,0,259.0,0.0,105.0,Java,Tipada,2.466666666666667,545,86,0.0
material-components/material-components-android,https://github.com/material-components/material-components-android,14920,182,212,5202.0,1511.0,544.0,Java,Tipada,9.5625,21065,2113,58.013888888888886
justauth/JustAuth,https://github.com/justauth/JustAuth,14728,34,3,711.0,12.0,69.0,Java,Tipada,10.304347826086955,1072,308,885.5702777777778
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,14687,50,2,1603.0,3.0,204.0,Java,Tipada,7.857843137254902,7159,2672,697.4025
baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,14472,140,0,5313.0,2.0,725.0,Java,Tipada,7.328275862068965,5650,1007,490.6301388888889
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14415,14,1,160.0,2.0,58.0,Java,Tipada,2.7586206896551726,74,2,2151.6784722222224
antlr/antlr4,https://github.com/antlr/antlr4,14391,312,0,9107.0,150.0,1943.0,Java,Tipada,4.687081832218219,21391,5689,811.0045833333334
android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,14342,38,6,1661.0,20.0,70.0,Java,Tipada,23.728571428571428,8013,3821,9455.994583333331
alibaba/ARouter,https://github.com/alibaba/ARouter,14178,22,1,301.0,2.0,151.0,Java,Tipada,1.9933774834437088,699,177,5091.011527777779
Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,14049,25,16,1007.0,26.0,39.0,Java,Tipada,25.82051282051282,12756,1366,453.8863888888889
mockito/mockito,https://github.com/mockito/mockito,13920,272,9,5923.0,66.0,1498.0,Java,Tipada,3.9539385847797055,8315,3055,219.3798611111111
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,13816,138,0,4085.0,59.0,52.0,Java,Tipada,78.5576923076923,21883,3750,224.5975
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13709,40,40,1153.0,47.0,139.0,Java,Tipada,8.29496402877698,4318,1443,6500.0725
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,13597,161,265,13837.0,590.0,3544.0,Java,Tipada,3.904345372460496,62219,8385,456.5236111111111
orhanobut/logger,https://github.com/orhanobut/logger,13580,11,3,146.0,10.0,62.0,Java,Tipada,2.3548387096774195,247,23,1193.2444444444443
lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13565,9,0,76.0,0.0,24.0,Java,Tipada,3.1666666666666665,140,25,0.0
ben-manes/caffeine,https://github.com/ben-manes/caffeine,13549,57,0,1672.0,1.0,239.0,Java,Tipada,6.99581589958159,14544,3331,16055.336944444443
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,13535,244,57,5657.0,414.0,2150.0,Java,Tipada,2.6311627906976742,27652,4655,62.59555555555556
arduino/Arduino,https://github.com/arduino/Arduino,13526,263,0,7375.0,857.0,1494.0,Java,Tipada,4.936412315930388,6441,1777,23.64555555555556
apache/hadoop,https://github.com/apache/hadoop,13486,548,0,26612.0,0.0,5638.0,Java,Tipada,4.720113515431004,256001,55641,0.0
elastic/logstash,https://github.com/elastic/logstash,13440,2215,290,10396.0,973.0,8560.0,Java,Tipada,1.2144859813084112,10932,1469,115.23736111111111
