nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
facebook/react,https://github.com/facebook/react,206945,1705,0,0,15798
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,169525,198,1,12,1097
twbs/bootstrap,https://github.com/twbs/bootstrap,163284,1355,0,0,22399
vercel/next.js,https://github.com/vercel/next.js,105642,2637,0,0,15731
d3/d3,https://github.com/d3/d3,105230,125,0,235,4355
axios/axios,https://github.com/axios/axios,100051,421,0,0,1450
facebook/create-react-app,https://github.com/facebook/create-react-app,99659,997,0,0,2800
nodejs/node,https://github.com/nodejs/node,95178,3226,0,0,38858
mrdoob/three.js,https://github.com/mrdoob/three.js,91374,1751,32,1160,41530
mui/material-ui,https://github.com/mui/material-ui,86488,2744,0,0,21801
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,71375,20,139,570,13
typicode/json-server,https://github.com/typicode/json-server,66709,75,3,0,872
iptv-org/iptv,https://github.com/iptv-org/iptv,64429,225,0,0,25961
hakimel/reveal.js,https://github.com/hakimel/reveal.js,63680,306,5,46,2964
webpack/webpack,https://github.com/webpack/webpack,63032,795,54,1061,15803
expressjs/express,https://github.com/expressjs/express,60774,326,3,93,5771
chartjs/Chart.js,https://github.com/chartjs/Chart.js,60506,462,0,0,4437
atom/atom,https://github.com/atom/atom,59368,503,78,1927,38533
angular/angular.js,https://github.com/angular/angular.js,59177,1703,0,0,9073
adam-p/markdown-here,https://github.com/adam-p/markdown-here,58724,12,23,63,807
jquery/jquery,https://github.com/jquery/jquery,57444,287,12,107,6612
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,57287,437,0,0,7389
lodash/lodash,https://github.com/lodash/lodash,56245,312,7,234,8005
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,54877,256,22,189,739
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,54405,3960,0,0,21387
strapi/strapi,https://github.com/strapi/strapi,53560,899,0,0,29918
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,50555,214,0,0,6747
moment/moment,https://github.com/moment/moment,47357,593,12,241,3980
prettier/prettier,https://github.com/prettier/prettier,45506,632,0,0,8421
juliangarnier/anime,https://github.com/juliangarnier/anime,45085,51,11,22,736
cypress-io/cypress,https://github.com/cypress-io/cypress,43317,469,0,0,19615
TryGhost/Ghost,https://github.com/TryGhost/Ghost,43074,483,18,1730,33964
iamkun/dayjs,https://github.com/iamkun/dayjs,42990,306,0,0,1454
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,42772,25,0,1,667
mozilla/pdf.js,https://github.com/mozilla/pdf.js,42380,374,0,0,17199
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,42321,376,0,0,2917
yarnpkg/yarn,https://github.com/yarnpkg/yarn,41157,528,3,6,2353
marktext/marktext,https://github.com/marktext/marktext,39662,140,0,0,1599
nwjs/nw.js,https://github.com/nwjs/nw.js,39573,108,478,432,4951
Unitech/pm2,https://github.com/Unitech/pm2,39000,274,0,0,4998
Dogfalo/materialize,https://github.com/Dogfalo/materialize,38827,260,33,211,3878
dcloudio/uni-app,https://github.com/dcloudio/uni-app,38048,201,23,266,10183
agalwood/Motrix,https://github.com/agalwood/Motrix,37628,67,0,0,1142
GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,37569,57,5,49,1428
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,37460,788,109,773,7644
google/zx,https://github.com/google/zx,37259,46,3,8,480
impress/impress.js,https://github.com/impress/impress.js,37191,83,0,5,413
iamadamdev/bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,36770,54,0,1,616
hexojs/hexo,https://github.com/hexojs/hexo,36708,184,7,254,3589
gorhill/uBlock,https://github.com/gorhill/uBlock,35610,104,0,0,10854
videojs/video.js,https://github.com/videojs/video.js,35511,436,79,377,3941
quilljs/quill,https://github.com/quilljs/quill,35498,134,52,218,5368
nolimits4web/swiper,https://github.com/nolimits4web/swiper,35052,264,0,0,3380
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,34533,141,24,257,2146
preactjs/preact,https://github.com/preactjs/preact,34353,305,13,174,5304
photonstorm/phaser,https://github.com/photonstorm/phaser,34261,544,0,0,18802
koajs/koa,https://github.com/koajs/koa,33965,233,10,9,1183
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,33953,281,94,546,3197
adobe/brackets,https://github.com/adobe/brackets,33451,590,0,0,17847
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,33123,61,4,38,396
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,32901,320,73,253,4190
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,32788,181,0,0,769
gulpjs/gulp,https://github.com/gulpjs/gulp,32752,248,1,28,1198
carbon-app/carbon,https://github.com/carbon-app/carbon,32482,175,14,83,1854
naptha/tesseract.js,https://github.com/naptha/tesseract.js,30319,67,0,1,707
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,29904,189,0,0,802
markedjs/marked,https://github.com/markedjs/marked,29641,158,0,0,2987
vuejs/vue-cli,https://github.com/vuejs/vue-cli,29638,515,38,272,3531
typicode/husky,https://github.com/typicode/husky,29378,105,0,14,866
react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,29125,222,0,145,1457
odoo/odoo,https://github.com/odoo/odoo,28991,2267,0,0,159120
airbnb/lottie-web,https://github.com/airbnb/lottie-web,28379,108,3,6,2357
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,28320,232,0,0,1649
vuejs/vuex,https://github.com/vuejs/vuex,28020,354,1,17,1209
jashkenas/backbone,https://github.com/jashkenas/backbone,28003,324,4,186,3454
kenwheeler/slick,https://github.com/kenwheeler/slick,27965,151,0,0,925
Kong/insomnia,https://github.com/Kong/insomnia,27951,307,0,0,4006
Binaryify/NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,27854,83,0,13,1317
caolan/async,https://github.com/caolan/async,27853,232,0,76,1883
webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,27836,174,22,90,3314
sequelize/sequelize,https://github.com/sequelize/sequelize,27826,1049,0,0,10013
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,27448,255,0,0,2768
layui/layui,https://github.com/layui/layui,27295,41,0,1,1202
fastify/fastify,https://github.com/fastify/fastify,27217,622,1,203,3649
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,27129,14,1,2,235
jashkenas/underscore,https://github.com/jashkenas/underscore,26947,283,1,112,2830
transloadit/uppy,https://github.com/transloadit/uppy,26811,370,75,646,9236
SortableJS/Sortable,https://github.com/SortableJS/Sortable,26782,152,21,74,1080
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,26466,325,119,629,5668
parallax/jsPDF,https://github.com/parallax/jsPDF,26442,194,39,122,2267
TheAlgorithms/JavaScript,https://github.com/TheAlgorithms/JavaScript,26394,349,2,8,1732
OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,26375,211,2,8,1962
YMFE/yapi,https://github.com/YMFE/yapi,25994,90,0,6,5802
codemirror/codemirror5,https://github.com/codemirror/codemirror5,25852,860,0,0,7142
github/fetch,https://github.com/github/fetch,25712,123,0,2,656
Automattic/mongoose,https://github.com/Automattic/mongoose,25631,959,0,0,19225
request/request,https://github.com/request/request,25630,311,1,0,2270
digitalocean/nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,25620,69,3,6,293
ajaxorg/ace,https://github.com/ajaxorg/ace,25614,465,51,112,8420
select2/select2,https://github.com/select2/select2,25594,505,0,0,2654
GitbookIO/gitbook,https://github.com/GitbookIO/gitbook,25548,101,0,0,2379
Modernizr/Modernizr,https://github.com/Modernizr/Modernizr,25453,301,0,0,2613
jamiebuilds/the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,25380,18,0,0,13
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,25380,29,3,8,753
rstacruz/nprogress,https://github.com/rstacruz/nprogress,25258,32,0,0,209
immerjs/immer,https://github.com/immerjs/immer,25214,174,0,75,1369
remy/nodemon,https://github.com/remy/nodemon,25199,160,3,60,1288
lovell/sharp,https://github.com/lovell/sharp,25167,183,1,199,1844
bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,24911,200,22,62,1988
nylas/nylas-mail,https://github.com/nylas/nylas-mail,24738,174,214,434,6116
fabricjs/fabric.js,https://github.com/fabricjs/fabric.js,24734,286,77,653,4686
tj/commander.js,https://github.com/tj/commander.js,24645,178,1,44,1201
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,24313,777,0,0,9106
swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui,23817,511,0,0,5601
sampotts/plyr,https://github.com/sampotts/plyr,23632,180,20,131,2294
hammerjs/hammer.js,https://github.com/hammerjs/hammer.js,23522,87,11,11,1199
feathericons/feather,https://github.com/feathericons/feather,23422,39,3,2,643
quasarframework/quasar,https://github.com/quasarframework/quasar,23421,633,0,0,12958
rollup/rollup,https://github.com/rollup/rollup,23389,349,0,0,5254
docsifyjs/docsify,https://github.com/docsifyjs/docsify,23379,174,25,99,1674
michalsnik/aos,https://github.com/michalsnik/aos,23369,19,3,12,259
vercel/pkg,https://github.com/vercel/pkg,23223,246,0,18,1135
pure-css/pure,https://github.com/pure-css/pure,22982,70,0,56,870
ramda/ramda,https://github.com/ramda/ramda,22963,316,5,24,2987
dimsemenov/PhotoSwipe,https://github.com/dimsemenov/PhotoSwipe,22834,70,22,20,697
eslint/eslint,https://github.com/eslint/eslint,22620,950,28,2621,8901
balderdashy/sails,https://github.com/balderdashy/sails,22562,240,24,134,7161
ovity/octotree,https://github.com/ovity/octotree,22451,66,0,0,718
emberjs/ember.js,https://github.com/emberjs/ember.js,22450,819,63,1195,22082
redux-saga/redux-saga,https://github.com/redux-saga/redux-saga,22443,320,9,40,1939
facebookarchive/draft-js,https://github.com/facebookarchive/draft-js,22379,251,69,71,1201
lutzroeder/netron,https://github.com/lutzroeder/netron,22306,1,4,216,6705
zloirock/core-js,https://github.com/zloirock/core-js,22293,118,2,40,5204
localForage/localForage,https://github.com/localForage/localForage,22194,104,10,25,1124
OpenZeppelin/openzeppelin-contracts,https://github.com/OpenZeppelin/openzeppelin-contracts,22162,419,1,35,3171
Tencent/wepy,https://github.com/Tencent/wepy,22108,170,9,51,2454
bilibili/flv.js,https://github.com/bilibili/flv.js,22101,39,0,0,431
mochajs/mocha,https://github.com/mochajs/mocha,21993,484,0,0,3601
goldfire/howler.js,https://github.com/goldfire/howler.js,21639,94,22,21,889
bevacqua/dragula,https://github.com/bevacqua/dragula,21524,40,10,17,366
jlmakes/scrollreveal,https://github.com/jlmakes/scrollreveal,21495,22,9,70,950
vuejs/vuepress,https://github.com/vuejs/vuepress,21492,428,0,0,2145
highlightjs/highlight.js,https://github.com/highlightjs/highlight.js,21466,639,26,493,6508
chenglou/react-motion,https://github.com/chenglou/react-motion,21456,72,1,15,809
jaredhanson/passport,https://github.com/jaredhanson/passport,21439,34,1,2,617
validatorjs/validator.js,https://github.com/validatorjs/validator.js,21239,445,0,0,2205
pugjs/pug,https://github.com/pugjs/pug,21224,252,13,108,2572
zadam/trilium,https://github.com/zadam/trilium,21079,82,0,0,6374
gchq/CyberChef,https://github.com/gchq/CyberChef,21068,225,71,170,3570
paularmstrong/normalizr,https://github.com/paularmstrong/normalizr,20985,60,0,0,455
postcss/autoprefixer,https://github.com/postcss/autoprefixer,20972,192,5,95,2610
necolas/react-native-web,https://github.com/necolas/react-native-web,20722,166,7,122,1930
ai/nanoid,https://github.com/ai/nanoid,20681,119,0,0,968
js-cookie/js-cookie,https://github.com/js-cookie/js-cookie,20626,48,0,92,868
winstonjs/winston,https://github.com/winstonjs/winston,20463,356,74,64,1515
Meituan-Dianping/mpvue,https://github.com/Meituan-Dianping/mpvue,20424,166,3,22,2328
avajs/ava,https://github.com/avajs/ava,20338,300,11,233,1965
eligrey/FileSaver.js,https://github.com/eligrey/FileSaver.js,20320,58,0,6,332
benweet/stackedit,https://github.com/benweet/stackedit,20306,9,29,69,313
petkaantonov/bluebird,https://github.com/petkaantonov/bluebird,20288,243,11,57,2112
parse-community/parse-server,https://github.com/parse-community/parse-server,20226,298,0,0,4179
chalk/chalk,https://github.com/chalk/chalk,20109,56,0,20,347
philc/vimium,https://github.com/philc/vimium,20074,145,0,0,4501
shimohq/chinese-programmer-wrong-pronunciation,https://github.com/shimohq/chinese-programmer-wrong-pronunciation,20043,91,0,0,445
enzymejs/enzyme,https://github.com/enzymejs/enzyme,19974,367,26,135,2012
hapijs/joi,https://github.com/hapijs/joi,19894,219,8,284,2409
badges/shields,https://github.com/badges/shields,19851,477,20,6590
responsively-org/responsively-app,https://github.com/responsively-org/responsively-app,19848,60,14,1652
websockets/ws,https://github.com/websockets/ws,19794,182,0,1849
FredKSchott/snowpack,https://github.com/FredKSchott/snowpack,19657,402,26,3441
Reactive-Extensions/RxJS,https://github.com/Reactive-Extensions/RxJS,19570,284,0,2357
typicode/lowdb,https://github.com/typicode/lowdb,19484,34,0,523
Popmotion/popmotion,https://github.com/Popmotion/popmotion,19410,64,0,3010
segmentio/nightmare,https://github.com/segmentio/nightmare,19374,129,13,993
processing/p5.js,https://github.com/processing/p5.js,19321,572,80,10422
svg/svgo,https://github.com/svg/svgo,19177,177,77,1363
vuejs/vue-router,https://github.com/vuejs/vue-router,18984,329,6,1450
nuysoft/Mock,https://github.com/nuysoft/Mock,18956,5,3,230
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,18946,331,141,4403
jorgebucaran/hyperapp,https://github.com/jorgebucaran/hyperapp,18937,100,2,1395
SortableJS/Vue.Draggable,https://github.com/SortableJS/Vue.Draggable,18795,36,0,521
jsdom/jsdom,https://github.com/jsdom/jsdom,18765,309,20,3605
facebookexperimental/Recoil,https://github.com/facebookexperimental/Recoil,18688,103,15,947
wekan/wekan,https://github.com/wekan/wekan,18602,244,249,10010
eggjs/egg,https://github.com/eggjs/egg,18488,207,4,1082
semantic-release/semantic-release,https://github.com/semantic-release/semantic-release,17848,207,3,1173
mysqljs/mysql,https://github.com/mysqljs/mysql,17789,131,8,1378
handsontable/handsontable,https://github.com/handsontable/handsontable,17788,115,281,7844
testing-library/react-testing-library,https://github.com/testing-library/react-testing-library,17788,177,2,496
MichMich/MagicMirror,https://github.com/MichMich/MagicMirror,17734,302,6,4699
basecamp/trix,https://github.com/basecamp/trix,17588,69,10,2912
knex/knex,https://github.com/knex/knex,17504,523,41,3010
facebookarchive/flux,https://github.com/facebookarchive/flux,17412,135,1,506
EastWorld/wechat-app-mall,https://github.com/EastWorld/wechat-app-mall,17376,28,0,601
dropzone/dropzone,https://github.com/dropzone/dropzone,17308,71,3,1100
framework7io/framework7,https://github.com/framework7io/framework7,17260,142,0,6929
julianshapiro/velocity,https://github.com/julianshapiro/velocity,17213,50,5,895
BoostIO/BoostNote-Legacy,https://github.com/BoostIO/BoostNote-Legacy,17185,238,0,4730
handlebars-lang/handlebars.js,https://github.com/handlebars-lang/handlebars.js,17163,182,14,2025
motdotla/dotenv,https://github.com/motdotla/dotenv,17081,68,0,549